Scene,Name,Interactions
scene_01,ALICE,5
scene_01,BILL,3
scene_01,BABY-SITTER,1
scene_01,HELENA,1
scene_02,BABY-SITTER,2
scene_02,HELENA,3
scene_02,ALICE,2
scene_02,DOORMAN,2
scene_02,BILL,3
scene_07,DRIVER,3
scene_07,BILL,2
scene_9,ZIEGLER,1
scene_10,ZIEGLER,1
scene_11,ZIEGLER,1
scene_11,BILL,1
scene_13,BILL,12
scene_13,ALICE,4
scene_13,NICK,10
scene_13,SZABO,1
scene_14,SZABO,4
scene_14,ALICE,3
scene_15,GAYLE,4
scene_15,BILL,7
scene_15,NUALA,5
scene_15,SZABO,5
scene_15,ALICE,2
scene_16,SZABO,11
scene_16,ALICE,8
scene_16,NUALA,3
scene_16,BILL,7
scene_16,GAYLE,4
scene_16,HARRIS,3
scene_17,SZABO,2
scene_17,ALICE,1
scene_18,ZIEGLER,2
scene_18,HARRIS,1
scene_19,BILL,11
scene_19,ZIEGLER,8
scene_20,ALICE,2
scene_20,BILL,1
scene_21,V.O.,2
scene_22,BILL,3
scene_22,ALICE,4
scene_23,ALICE,44
scene_23,BILL,46
scene_24,BILL,8
scene_24,MARION,9
scene_24,V.O.,1
scene_25,CARL,1
scene_26,CARL,2
scene_26,MARION,1
scene_26,BILL,1
scene_27,DOORMAN,1
scene_27,BILL,1
scene_29,V.O.,2
scene_30,V.O.,1
scene_31,V.O.,1
scene_32,DOMINO,10
scene_32,BILL,6
scene_33,BILL,2
scene_33,DOMINO,2
scene_34,BILL,27
scene_34,DOMINO,26
scene_35,V.O.,1
scene_35,DOORMAN,1
scene_36,NICK,1
scene_37,BILL,39
scene_37,NICK,41
scene_38,BILL,12
scene_38,GIBSON,9
scene_39,GIBSON,4
scene_39,BILL,3
scene_40,GIBSON,9
scene_40,KIMONO 1,2
scene_40,KIMONO 2,1
scene_40,BILL,4
scene_40,YOUNG GIRL,1
scene_41,GIBSON,1
scene_42,GIBSON,4
scene_42,BILL,5
scene_43,BILL,3
scene_43,CAB DRIVER,2
scene_45,V.O.,1
scene_47,BILL,2
scene_48,BILL,2
scene_48,CAB DRIVER,1
scene_49,CAB DRIVER,1
scene_50,GATEMAN 1,7
scene_50,BILL,6
scene_51,GATEMAN 1,1
scene_51,BILL,1
scene_52,BILL,11
scene_52,SERVANTS,1
scene_52,SERVANT 1,1
scene_52,THE WOMAN,12
scene_52,ANOTHER WOMAN,1
scene_52,TALL MAN,1
scene_52,ELEGANT MAN,1
scene_53,ELEGANT MAN,15
scene_53,BILL,9
scene_53,THE WOMAN,4
scene_54,BILL,18
scene_54,ALICE,11
scene_54,V.O.,1
scene_57,BILL,5
scene_57,CLEANING LADY,1
scene_57,MANAGERESS,4
scene_59,BILL,11
scene_59,DESK CLERK,11
scene_61,GIBSON,9
scene_61,BILL,9
scene_62,GIBSON,2
scene_66,V.O.,1
scene_67,BILL,1
scene_69,V.O.,1
scene_70,V.O.,1
scene_70,ALICE,1
scene_70,BILL,1
scene_72,BILL,4
scene_72,CARL,4
scene_73,MARION,10
scene_73,BILL,15
scene_78,ARTY WOMAN,2
scene_78,BILL,3
scene_78,SALLY,2
scene_79,SALLY,1
scene_81,SALLY,4
scene_81,BILL,6
scene_81,ARTY WOMAN,4
scene_82,V.O.,1
scene_86,WAITRESS,2
scene_86,BILL,2
scene_86,V.O.,1
scene_87,BILL,6
scene_87,CLERK,5
scene_88,V.O.,1
scene_88,BILL,3
scene_88,ORDERLY,1
scene_89,HARRIS,3
scene_89,BILL,12
scene_89,ZIEGLER,14
scene_89,BOTH,1
scene_90,ZIEGLER,20
scene_90,BILL,19
scene_91,ZIEGLER,1
scene_92,V.O.,1
scene_92,BILL,2
scene_93,BILL,4
scene_93,ALICE,4
